1,Afghanistan,93,8
2,Albania,355,8
3,Algeria,213,9
4,American Samoa,1-684,7
5,Andorra,376,6
6,Angola,244,9
7,Anguilla,1-264,7
8,Antigua and Barbuda,1-268,7
9,Argentina,54,10
10,Armenia,374,8
11,Aruba,297,7
12,Australia,61,9
13,Austria,43,10
14,Azerbaijan,994,9
15,Bahamas,1-242,7
16,Bahrain,973,8
17,Bangladesh,880,10
18,Barbados,1-246,7
19,Belarus,375,9
20,Belgium,32,9
21,Belize,501,7
22,Benin,229,8
23,Bermuda,1-441,7
24,Bhutan,975,8
25,Bolivia,591,8
26,Bosnia and Herzegovina,387,8
27,Botswana,267,8
28,Brazil,55,11
29,British Indian Ocean Territory,246,7
30,British Virgin Islands,1-284,7
31,Brunei,673,7
32,Bulgaria,359,9
33,Burkina Faso,226,8
34,Burundi,257,8
35,Cambodia,855,8
36,Cameroon,237,9
37,Canada,1,10
38,Cape Verde,238,7
39,Cayman Islands,1-345,7
40,Central African Republic,236,8
41,Chad,235,8
42,Chile,56,9
43,China,86,11
44,Christmas Island,61,7
45,Cocos Islands,61,7
46,Colombia,57,10
47,Comoros,269,7
48,Cook Islands,682,5
49,Costa Rica,506,8
50,Croatia,385,9
51,Cuba,53,8
52,Curacao,599,7
53,Cyprus,357,8
54,Czech Republic,420,9
55,Democratic Republic of the Congo,243,9
56,Denmark,45,8
57,Djibouti,253,8
58,Dominica,1-767,7
59,Dominican Republic,1-809,10
60,East Timor,670,7
61,Ecuador,593,9
62,Egypt,20,9
63,El Salvador,503,8
64,Equatorial Guinea,240,7
65,Eritrea,291,7
66,Estonia,372,8
67,Ethiopia,251,9
68,Falkland Islands,500,5
69,Faroe Islands,298,6
70,Fiji,679,7
71,Finland,358,9
72,France,33,9
73,French Polynesia,689,6
74,Gabon,241,8
75,Gambia,220,7
76,Georgia,995,9
77,Germany,49,11
78,Ghana,233,9
79,Gibraltar,350,6
80,Greece,30,10
81,Greenland,299,6
82,Grenada,1-473,7
83,Guam,1-671,7
84,Guatemala,502,8
85,Guernsey,44-1481,6
86,Guinea,224,8
87,Guinea-Bissau,245,7
88,Guyana,592,7
89,Haiti,509,8
90,Honduras,504,8
91,Hong Kong,852,8
92,Hungary,36,9
93,Iceland,354,7
94,India,91,10
95,Indonesia,62,10
96,Iran,98,10
97,Iraq,964,10
98,Ireland,353,9
99,Isle of Man,44-1624,6
100,Israel,972,9
101,Italy,39,10
102,Ivory Coast,225,8
103,Jamaica,1-876,7
104,Japan,81,10
105,Jersey,44-1534,6
106,Jordan,962,9
107,Kazakhstan,7,10
108,Kenya,254,9
109,Kiribati,686,5
110,Kosovo,383,8
111,Kuwait,965,8
112,Kyrgyzstan,996,9
113,Laos,856,8
114,Latvia,371,8
115,Lebanon,961,8
116,Lesotho,266,8
117,Liberia,231,8
118,Libya,218,9
119,Liechtenstein,423,7
120,Lithuania,370,8
121,Luxembourg,352,9
122,Macau,853,8
123,Macedonia,389,8
124,Madagascar,261,9
125,Malawi,265,8
126,Malaysia,60,9
127,Maldives,960,7
128,Mali,223,8
129,Malta,356,8
130,Marshall Islands,692,7
131,Mauritania,222,8
132,Mauritius,230,7
133,Mayotte,262,8
134,Mexico,52,10
135,Micronesia,691,7
136,Moldova,373,8
137,Monaco,377,8
138,Mongolia,976,8
139,Montenegro,382,8
140,Montserrat,1-664,7
141,Morocco,212,9
142,Mozambique,258,9
143,Myanmar,95,8
144,Namibia,264,8
145,Nauru,674,5
146,Nepal,977,9
147,Netherlands,31,9
148,Netherlands Antilles,599,7
149,New Caledonia,687,6
150,New Zealand,64,8
151,Nicaragua,505,8
152,Niger,227,8
153,Nigeria,234,10
154,Niue,683,4
155,Norfolk Island,672,6
156,North Korea,850,9
157,Northern Mariana Islands,1-670,7
158,Norway,47,8
159,Oman,968,8
160,Pakistan,92,10
161,Palau,680,7
162,Palestinian territories,970,9
163,Panama,507,8
164,Papua New Guinea,675,7
165,Paraguay,595,8
166,Peru,51,9
167,Philippines,63,10
168,Pitcairn Islands,64,4
169,Poland,48,9
170,Portugal,351,9
171,Puerto Rico,1-787,7
172,Qatar,974,8
173,Republic of the Congo,242,8
174,Reunion,262,9
175,Romania,40,10
176,Russia,7,10
177,Rwanda,250,9
178,Saint Barth��,590,6
179,Saint Helena,290,4
180,Saint Kitts and Nevis,1-869,7
181,Saint Lucia,1-758,7
182,Saint Martin,590,6
183,Saint Pierre and Miquelon,508,6
184,Saint Vincent and the Grenadines,1-784,7
185,Samoa,685,7
186,San Marino,378,8
187,S��o Tom�� and P,239,7
188,Saudi Arabia,966,9
189,Senegal,221,9
190,Serbia,381,8
191,Seychelles,248,7
192,Sierra Leone,232,8
193,Singapore,65,8
194,Sint Maarten,1-721,7
195,Slovakia,421,9
196,Slovenia,386,8
197,Solomon Islands,677,7
198,Somalia,252,8
199,South Africa,27,9
200,South Korea,82,9
201,South Sudan,211,9
202,Spain,34,9
203,Sri Lanka,94,9
204,Sudan,249,9
205,Suriname,597,7
206,Svalbard and Jan Mayen,47,8
207,Swaziland,268,8
208,Sweden,46,9
209,Switzerland,41,9
210,Syria,963,9
211,Taiwan,886,9
212,Tajikistan,992,9
213,Tanzania,255,9
214,Thailand,66,9
215,Timor-Leste (East Timor),670,7
216,Togo,228,8
217,Tokelau,690,4
218,Tonga,676,7
219,Trinidad and Tobago,1-868,7
220,Tunisia,216,8
221,Turkey,90,10
222,Turkmenistan,993,8
223,Turks and Caicos Islands,1-649,7
224,Tuvalu,688,5
225,Uganda,256,9
226,Ukraine,380,9
227,United Arab Emirates,971,9
228,United Kingdom,44,10
229,United States,1,10
230,U.S. Virgin Islands,1-340,7
231,Uruguay,598,8
232,Uzbekistan,998,9
233,Vanuatu,678,7
234,Vatican City (Holy See),379,7
235,Venezuela,58,7
236,Vietnam,84,9
237,Wallis and Futuna,681,6
238,Western Sahara,212,8
239,Yemen,967,9
240,Zambia,260,9
241,Zimbabwe,263,9
